[DeviceInfo-1] SerialNumber updated (direct match): 'LBNKIATNW235012345' → 'LBNKIASRC243920029'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] PuschDataScramblingID updated (direct match): '25' → '83'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/BWP-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CellPfsCfgInfo-1] PdbCoeff updated (direct match): '5' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CellPfsCfgInfo-1] TotalGbrServedRatePriolvl updated (direct match): '100' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1] CsiRsOffset updated (direct match): '3' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1] CsiRsRowType updated (direct match): 'CSI_FREQ_DOM_ALLOC_ROW4' → 'CSI_FREQ_DOM_ALLOC_OTHER'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1] FirstSym updated (direct match): '13' → '12'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/CsiRsCfgInfo-1] IsCsiRsEnable updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1] CmnCoresetAggrLvln updated (direct match): 'AGGR_LEVEL_4' → 'AGGR_LEVEL_8'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlBwpCfg-1] CyclicPrefixn updated (direct match): 'normal' → 'extended'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlBwpCfg-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlBwpCfg-1/CntrlResourceSetSearchSpaceCfg-1] AvgAggregationLvl updated (direct match): '4' → '2'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlBwpCfg-1/CntrlResourceSetSearchSpaceCfg-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1] AbsArfcnSsb updated (direct match): '643296' → '631968'
