AIOSC Merge Report
Generated,2025-07-09T16:31:00

Metric,Count
Objects in BASE (Original),307
Objects in FINAL (Merged),368
NEW (from Skeletal),61
CARRIED (from Base),99
COMMON (shared & modified),208
DEPRECATED (removed from Base),0

Class,DistName,Status
com.nokia.aiosc:GrpBPreambleCfg,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UlCfgCmn-1/UlBwpCfg-1/RachCfgInfo-1/GrpBPreambleCfg-1,COMMON
com.nokia.aiosc:GsmExtCellList,Device-1/Services-1/X_Nokia_BSR-1/GsmExtCellList-1,NEW
com.nokia.aiosc:GsmNatLocLockFrequency,Device-1/Services-1/X_Nokia_BSR-1/GsmNatLocLockFrequency-1,NEW
com.nokia.aiosc:HWInfo,Device-1/Services-1/X_Nokia_BSR-1/SysConfig-1/HWInfo-1,COMMON
com.nokia.aiosc:HgNB,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1,COMMON
com.nokia.aiosc:IKEv2SAPair,Device-1/Services-1/X_Nokia_BSR-1/IKEv2SAPair-1,COMMON
com.nokia.aiosc:IKEv2SAPair,Device-1/Services-1/X_Nokia_BSR-1/IKEv2SAPair-2,CARRIED
com.nokia.aiosc:IP,Device-1/IP-1,COMMON
com.nokia.aiosc:IPsecSAPair,Device-1/Services-1/X_Nokia_BSR-1/IKEv2SAPair-1/IPsecSAPair-1,COMMON
com.nokia.aiosc:IPsecSAPair,Device-1/Services-1/X_Nokia_BSR-1/IKEv2SAPair-2/IPsecSAPair-1,CARRIED
com.nokia.aiosc:IPv4Address,Device-1/IP-1/Interface-1/IPv4Address-1,NEW
com.nokia.aiosc:IPv6Address,Device-1/IP-1/Interface-1/IPv6Address-1,COMMON
com.nokia.aiosc:IntegrityProtAlgorithm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-1,COMMON
com.nokia.aiosc:IntegrityProtAlgorithm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-2,CARRIED
com.nokia.aiosc:IntegrityProtAlgorithm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-3,CARRIED
com.nokia.aiosc:Interface,Device-1/IP-1/Interface-1,COMMON
com.nokia.aiosc:IntraFreqCellReselectionInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1,COMMON
com.nokia.aiosc:L1CfgInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/L1CfgInfo-1,COMMON
com.nokia.aiosc:La,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/La-1,COMMON
com.nokia.aiosc:LocalRoutingPassNetworkList,Device-1/Services-1/X_Nokia_BSR-1/LocalRoutingPassNetworkList-1,COMMON
com.nokia.aiosc:LteExtCellList,Device-1/Services-1/X_Nokia_BSR-1/LteExtCellList-1,NEW
com.nokia.aiosc:LteNatLocLockFrequency,Device-1/Services-1/X_Nokia_BSR-1/LteNatLocLockFrequency-1,NEW
com.nokia.aiosc:LtenrCoTraficPatternType,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/LtenrCoTraficPatternType-1,COMMON
com.nokia.aiosc:MNL,MNL-1,NEW
com.nokia.aiosc:MacCfgCmn,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/MacCfgCmn-1,COMMON
com.nokia.aiosc:MacParams,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/RlcCfg-1/NrQfiGrp-1/MacParams-1,COMMON
com.nokia.aiosc:MacParams,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/RlcCfg-1/NrQfiGrp-2/MacParams-1,CARRIED
com.nokia.aiosc:MacParams,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/RlcCfg-1/NrQfiGrp-3/MacParams-1,CARRIED
com.nokia.aiosc:MacParams,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/RlcCfg-1/NrQfiGrp-4/MacParams-1,CARRIED
com.nokia.aiosc:ManagementServer,Device-1/ManagementServer-1,COMMON
com.nokia.aiosc:MeasEutra,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1,NEW
com.nokia.aiosc:MeasGap,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/MeasGap-1,COMMON
com.nokia.aiosc:MeasObject,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1,COMMON
com.nokia.aiosc:MeasObjectEutra,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasEutra-1/MeasObjectEutra-1,NEW
com.nokia.aiosc:MeasObjectNr,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1,COMMON
com.nokia.aiosc:MibParams,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/L1CfgInfo-1/MibParams-1,COMMON
com.nokia.aiosc:MultiBandInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1/MultiBandInfo-1,COMMON
com.nokia.aiosc:MultiBandInfoListEutra,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1/MultiBandInfoListEutra-1,NEW
com.nokia.aiosc:MultiBandInfoUl,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UlCfgCmn-1/UlFreqInfo-1/MultiBandInfoUl-1,COMMON
com.nokia.aiosc:MultiFrequencyBandListNR,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1/MultiFrequencyBandListNR-1,COMMON
com.nokia.aiosc:MultiFrequencyBandListNR,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-7/MultiFrequencyBandListNR-1,CARRIED
com.nokia.aiosc:MultiFrequencyBandListNR,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-8/MultiFrequencyBandListNR-1,CARRIED
